index,yield,radiation,rain,avg_min_temp,avg_max_temp
1,2.237647059,297866.57,2811.76,5.510158103,16.04932806
2,1.870588235,310590.38,2968.34,5.923658071,16.46616046
3,1.164117647,323710.46,3057.78,6.306201479,16.86260628
4,0.837058824,333422.21,3177.75,6.632578616,17.15107817
