index,yield,radiation,rain,avg_min_temp,avg_max_temp
1,2.411594363,122788.22,778.85,5.531472081,16.13771574
2,1.836832108,134126.73,935.76,6.389411765,17.01851765
3,1.525964461,146453.83,1003.27,7.208311404,17.93894737
4,1.249729167,157737.78,1046.95,7.91063655,18.65053388
